Date,Japan,China,South Korea,India,Taiwan,France,Spain,United Kingdom,Turkey,Italy,Netherlands,Thailand,Pakistan,Belgium,Kuwait,Singapore Republic,Indonesia,Bangladesh,Portugal,Poland,Chile,Egypt,Brazil,Mexico,Malaysia,Argentina,Greece,Germany,Lithuania,United Arab Emirates,Dominican Republic,Puerto Rico,Jordan,United States,Jamaica,Croatia,Colombia,Finland,Canada,Philippines,Panama,Malta,Sweden,Israel,Hong Kong,Norway,United States Virgin Islands,El Salvador,Russian Federation,Vietnam,Myanmar,Bahrain,Gibraltar,Australia,Senegal,Cuba,Denmark,Papua New Guinea,Unknown,Mauritania,Iceland,Estonia,Bahamas,Period End Date
2016-02-07,400323.00,0,513679.00,179606.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203065.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-07
2016-02-08,1002920.00,0,131009.00,149643.00,138034.00,140259.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162440.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-08
2016-02-09,349814.00,215366.00,0,140843.00,0,0,0,0,324718.00,145122.00,0,0,0,0,0,0,0,0,0,0,136501.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-09
2016-02-10,367613.00,0,153102.00,0,130579.00,0,0,0,135393.00,0,0,0,0,0,0,0,0,0,0,203170.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-10
2016-02-11,994581.00,0,0,152133.00,0,73125.00,121049.00,210301.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139094.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-11
2016-02-12,763207.00,9776.00,288937.00,0,0,0,130746.00,0,0,0,0,0,146398.00,0,0,0,121961.00,0,0,0,0,0,0,147438.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-12
2016-02-13,696910.00,0,138560.00,130957.00,138422.00,0,0,0,0,139040.00,0,0,0,0,0,0,0,0,0,0,0,0,0,153011.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15109.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-13
2016-02-14,121832.00,0,0,96347.00,138148.00,0,268063.00,203278.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,6476.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-14
2016-02-15,154079.00,294198.00,677427.00,206696.00,0,141619.00,0,0,283416.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-15
2016-02-16,1415823.00,290420.00,398851.00,122129.00,0,73015.00,0,0,0,0,0,0,0,148420.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131129.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000.00,0,0,0,0,0,0,0,0,0,2016-02-16
2016-02-17,609788.00,273287.00,419906.00,131945.00,0,0,0,0,0,0,0,209436.00,0,0,0,0,0,0,0,0,143354.00,153309.00,0,0,70880.00,101602.00,0,0,0,0,0,0,144330.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-17
2016-02-18,535037.00,257443.00,149407.00,0,140073.00,73015.00,0,209563.00,0,144922.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149525.00,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-18
2016-02-19,404302.00,203426.00,0,168628.00,276499.00,0,129983.00,0,0,0,0,0,0,0,0,153839.00,0,0,0,0,0,166807.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10132.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-19
2016-02-20,670154.00,0,417884.00,0,0,140454.00,0,209580.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132866.00,0,0,0,0,0,0,0,0,0,0,6371.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-20
2016-02-21,20841.00,0,253310.00,149643.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-21
2016-02-22,706761.00,371214.00,289156.00,0,130579.00,0,72259.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67484.00,0,130431.00,0,0,0,0,0,0,121279.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-22
