date,trend,tweet_count
11-09-2025,Nazis,308190.0
11-09-2025,#نجاح_صيف_السعوديه,
11-09-2025,#اخت_رجال,
11-09-2025,GRANDE DIA,33272.0
11-09-2025,BOLSONARO CONDENADO,65344.0
11-09-2025,#رجال_الحكيم,
11-09-2025,#ابشر_بنا_ياسعدون,
11-09-2025,carmen lucia,184083.0
11-09-2025,#حديث_الساري,
11-09-2025,namjoon,286479.0
11-09-2025,$MINT,
11-09-2025,Alexandre de Moraes,100435.0
11-09-2025,BOLSONARO PRESO,32594.0
11-09-2025,WHAT IF TAYO,160888.0
11-09-2025,Jota Silva,
11-09-2025,Jair Bolsonaro,100348.0
11-09-2025,Xandão,31932.0
11-09-2025,HBCUs,10303.0
11-09-2025,Zanin,38067.0
11-09-2025,George Floyd,385662.0
11-09-2025,Plantão da Globo,18192.0
11-09-2025,Dino,116463.0
11-09-2025,Hakan Bilal Kutlualp,
11-09-2025,Jair Messias Bolsonaro,
11-09-2025,The FBI,706476.0
11-09-2025,Mauser,13016.0
11-09-2025,Bihter,
11-09-2025,Borderlands 4,11838.0
11-09-2025,Sant Rampal Ji Maharaj,176792.0
11-09-2025,Fassi,
11-09-2025,VAI TOMAR NO CU BOLSONARO,
11-09-2025,Martial,52867.0
11-09-2025,ミランさん,
11-09-2025,Iztapalapa,198017.0
11-09-2025,ナムさん,
11-09-2025,Mossad,195164.0
11-09-2025,全4問正解,24758.0
11-09-2025,Chipre,
11-09-2025,Wチャンス,173463.0
11-09-2025,賞品の抽選,39898.0
11-09-2025,ピン止め投稿,18002.0
11-09-2025,Nate,30975.0
11-09-2025,#ديه_سعدون_يغامد_وزهران,
11-09-2025,#لاتزرع_شعرك_بغير_واثق_كلينك,
11-09-2025,#عشت_يابو_سلمان,
11-09-2025,#CharlieKirkshot,83613.0
11-09-2025,#BelgiumWordExpo,14988.0
11-09-2025,#متجر_هوم_ستايل,
11-09-2025,#HappyBirthdayRM,149299.0
11-09-2025,#PolisMeslekKanunu,72770.0
11-09-2025,#ارض_بمخطط_العروس_θ5478θ7957,
11-09-2025,#عشت_يابو_سلمان,
11-09-2025,Namjoon,263003.0
11-09-2025,#متجر_هوم_ستايل,
11-09-2025,#ابشر_بنا_ياسعدون,
11-09-2025,#ديه_سعدون_يغامد_وزهران,
11-09-2025,#حديث_الساري,
11-09-2025,WHAT IF TAYO,155488.0
11-09-2025,Carmen Lúcia,75226.0
11-09-2025,Jota Silva,
11-09-2025,Sant Rampal Ji Maharaj,174624.0
11-09-2025,HBCUs,
11-09-2025,$MINT,
11-09-2025,ナムさん,
11-09-2025,全4問正解,24186.0
11-09-2025,賞品の抽選,39297.0
11-09-2025,ピン止め投稿,17532.0
11-09-2025,Wチャンス,172142.0
11-09-2025,The FBI,643126.0
11-09-2025,MAJOR FANDOM TMK,146415.0
11-09-2025,George Floyd,364785.0
11-09-2025,Mauser,10552.0
11-09-2025,1-800-CALL-FBI,123723.0
11-09-2025,サンヒョン,
11-09-2025,ことりちゃん,
11-09-2025,秋山先生,
11-09-2025,ジアハオ,15773.0
11-09-2025,Eduardo Serrano,
11-09-2025,Anthony Martial,
11-09-2025,Fassi,
11-09-2025,Chipre,
11-09-2025,David Hogg,
11-09-2025,第1330回,
11-09-2025,حسام غالي,
11-09-2025,ミランさん,
11-09-2025,Borderlands 4,10171.0
11-09-2025,Antifa,92975.0
11-09-2025,ジュンミン,
11-09-2025,Chains,123807.0
11-09-2025,GiveRep V1,
11-09-2025,Nate Burleson,
11-09-2025,Rayados,
11-09-2025,#لاتزرع_شعرك_بغير_واثق_كلينك,
11-09-2025,#HappyBirthdayRM,136897.0
11-09-2025,#ارض_بمخطط_العروس_θ5478θ7957,
11-09-2025,#الاستغفار_يذهب_الهموم,
11-09-2025,#CharlieKirkshot,73520.0
11-09-2025,#NeverForget,59274.0
11-09-2025,#PolisMeslekKanunu,43578.0
11-09-2025,#BelgiumWordExpo,
11-09-2025,#マヂラブANN0,
11-09-2025,Namjoon,225823.0
11-09-2025,#عشت_يابو_سلمان,
11-09-2025,#الاستغفار_يذهب_الهموم,
11-09-2025,#HappyBirthdayRM,114908.0
11-09-2025,WHAT IF TAYO,134452.0
11-09-2025,#تكفون_فاتورتي_في__منصه_احسان,
11-09-2025,#NeverForget,52131.0
11-09-2025,Sant Rampal Ji Maharaj,165258.0
11-09-2025,賞品の抽選,38774.0
11-09-2025,ナムさん,
11-09-2025,全4問正解,23660.0
11-09-2025,ピン止め投稿,17141.0
11-09-2025,Wチャンス,171718.0
11-09-2025,MAJOR FANDOM TMK,128006.0
11-09-2025,サンヒョン,
11-09-2025,ジアハオ,14772.0
11-09-2025,Jota Silva,
11-09-2025,ことりちゃん,
11-09-2025,ジュンミン,
11-09-2025,Chains,118127.0
11-09-2025,カンミン,
11-09-2025,ミルキーサブウェイ,31229.0
11-09-2025,GiveRep V1,
11-09-2025,정상현 17위,11914.0
11-09-2025,ジュンソ,13710.0
11-09-2025,第1330回,
11-09-2025,Mauser,
11-09-2025,EFM x DEXX,14571.0
11-09-2025,ミランさん,
11-09-2025,サンウォン,
11-09-2025,MAJOR LOVES TFO,92574.0
11-09-2025,Anthony Martial,
11-09-2025,중대발표,
11-09-2025,PERTHSANTA STOPMOMENT LIVE,486482.0
11-09-2025,チンウィ,
11-09-2025,The FBI,546064.0
11-09-2025,Eduardo Serrano,
11-09-2025,カニちゃん,
11-09-2025,VRC鯖落ち,
11-09-2025,1-800-CALL-FBI,52826.0
11-09-2025,#تكفون_سعدون_لاتخلونه,
11-09-2025,#RMDay2025,95355.0
11-09-2025,#愛のがっこう,56566.0
11-09-2025,#حديث_الساري,
11-09-2025,#اعلانك_تررند__θ5592θ9593,
11-09-2025,#MikBrentSingleOutNow,11538.0
11-09-2025,#तत्वज्ञान_की_प्रदर्शनी,189622.0
11-09-2025,#سهم_القمه_مكانك,
11-09-2025,#푸른_별빛이_우리에게_다가온_날,22415.0
11-09-2025,#ダンダダン,10543.0
11-09-2025,Namjoon,139477.0
11-09-2025,#愛のがっこう,54047.0
11-09-2025,#HappyBirthdayRM,61596.0
11-09-2025,#اعلانك_تررند__θ5592θ9593,
11-09-2025,#NeverForget,42145.0
11-09-2025,#سهم_القمه_مكانك,
11-09-2025,賞品の抽選,37377.0
11-09-2025,ピン止め投稿,16162.0
11-09-2025,全4問正解,22314.0
11-09-2025,Wチャンス,166976.0
11-09-2025,WHAT IF TAYO,83160.0
11-09-2025,Sant Rampal Ji Maharaj,135770.0
11-09-2025,サンヒョン,
11-09-2025,ジアハオ,11455.0
11-09-2025,ナムさん,
11-09-2025,Chains,96212.0
11-09-2025,ジュンミン,
11-09-2025,ミルキーサブウェイ,29553.0
11-09-2025,MAJOR FANDOM TMK,78885.0
11-09-2025,カンミン,
11-09-2025,정상현 17위,
11-09-2025,ことりちゃん,
11-09-2025,ジュンソ,10948.0
11-09-2025,サンウォン,
11-09-2025,PERTHSANTA STOPMOMENT LIVE,426369.0
11-09-2025,カニちゃん,
11-09-2025,중대발표,
11-09-2025,チンウィ,
11-09-2025,EFM x DEXX,
11-09-2025,すわほー,
11-09-2025,こいほー,
11-09-2025,ASHDRES MINAMAHAL TRAILER,61856.0
11-09-2025,슈가하이,17187.0
11-09-2025,川原なにがし,
11-09-2025,おつダスピ,
11-09-2025,マキナ死,
11-09-2025,キングオブコント,21319.0
11-09-2025,リズハオ,
11-09-2025,スイカちゃん,
11-09-2025,武蔵小杉,28937.0
11-09-2025,Queendom The Series EP6,15346.0
11-09-2025,jeonghan,28075.0
11-09-2025,#化物語クイズキャンペーン,28084.0
11-09-2025,#HAPPYRMDAY,41165.0
11-09-2025,#तत्वज्ञान_की_प्रदर्शनी,150965.0
11-09-2025,#푸른_별빛이_우리에게_다가온_날,
11-09-2025,#モンスト,36258.0
11-09-2025,#南ことり生誕祭2025,
11-09-2025,#TEASER_BAMBAMXTIMETHAI,88020.0
11-09-2025,#HAPPY_YEJUN_DAY,10481.0
11-09-2025,#愛のがっこう,39523.0
11-09-2025,#化物語クイズキャンペーン,25263.0
11-09-2025,ピン止め投稿,14248.0
11-09-2025,賞品の抽選,34882.0
11-09-2025,全4問正解,19696.0
11-09-2025,Wチャンス,165146.0
11-09-2025,#モンスト,33546.0
11-09-2025,#NeverForget,28753.0
11-09-2025,#TEASER_BAMBAMXTIMETHAI,35018.0
11-09-2025,Sant Rampal Ji Maharaj,93830.0
11-09-2025,WHAT IF TAYO,29875.0
11-09-2025,すわほー,
11-09-2025,こいほー,
11-09-2025,PERTHSANTA STOPMOMENT LIVE,327249.0
11-09-2025,MAJOR FANDOM TMK,12962.0
11-09-2025,ミルキーサブウェイ,25565.0
11-09-2025,ASHDRES MINAMAHAL TRAILER,55379.0
11-09-2025,まりほー,
11-09-2025,jeonghan,24833.0
11-09-2025,横山くん,12292.0
11-09-2025,カニちゃん,
11-09-2025,川原なにがし,
11-09-2025,マキナ死,
11-09-2025,チャンテ4,
11-09-2025,日本の観光名所,
11-09-2025,キングオブコント,18534.0
11-09-2025,슈가하이,10068.0
11-09-2025,ジュンミン,
11-09-2025,中村奨成,
11-09-2025,武蔵小杉,25981.0
11-09-2025,Masih Ada Lazada99 Sale,
11-09-2025,ジェニーハイ,
11-09-2025,ベルナルド,
11-09-2025,AZRALPH NAIILANG MILLION VIEWS,40242.0
11-09-2025,トム・ブラウン,
11-09-2025,元祖いちごちゃん,
11-09-2025,レインボー,
11-09-2025,럭키마초,15494.0
11-09-2025,どう森新作,
11-09-2025,大竹さん,
11-09-2025,Making×Lyric Video,
11-09-2025,カヲルちゃん,
11-09-2025,電車遅延,
11-09-2025,ロコディ,
11-09-2025,DUSTBIA KINAKABAHAN MV DAY,465709.0
11-09-2025,ラッキーマッチョ,
11-09-2025,التوازن العقاري,
11-09-2025,EFM x DEXX,
11-09-2025,Trade $SAPIEN,
11-09-2025,ゴミの本領発揮,
11-09-2025,#化物語クイズキャンペーン,20332.0
11-09-2025,ピン止め投稿,10907.0
11-09-2025,賞品の抽選,29923.0
11-09-2025,全4問正解,15396.0
